M d02 d05 d08 s1 s3
0.0000 0.000000 0.000000 0.000000 0.000000 0.000000
0.0100 0.002500 0.009999 0.039917 0.007377 0.016477
0.0200 0.004999 0.019989 0.079347 0.014753 0.032949
0.0300 0.007498 0.029964 0.117848 0.022127 0.049407
0.0400 0.009995 0.039915 0.155061 0.029499 0.065846
0.0500 0.012490 0.049834 0.190727 0.036869 0.082260
0.0600 0.014982 0.059714 0.224681 0.044234 0.098642
0.0700 0.017472 0.069548 0.256846 0.051596 0.114986
0.0800 0.019958 0.079327 0.287211 0.058952 0.131286
0.0900 0.022441 0.089045 0.315812 0.066302 0.147536
0.1000 0.024919 0.098695 0.342717 0.073646 0.163728
0.1100 0.027392 0.108271 0.368012 0.080982 0.179858
0.1200 0.029860 0.117766 0.391793 0.088310 0.195919
0.1300 0.032322 0.127174 0.414159 0.095629 0.211904
0.1400 0.034778 0.136491 0.435206 0.102939 0.227809
0.1500 0.037227 0.145709 0.455028 0.110238 0.243626
0.1600 0.039669 0.154825 0.473712 0.117527 0.259350
0.1700 0.042103 0.163834 0.491340 0.124803 0.274975
0.1800 0.044530 0.172731 0.507986 0.132067 0.290496
0.1900 0.046947 0.181513 0.523721 0.139318 0.305906
0.2000 0.049356 0.190175 0.538607 0.146555 0.321199
0.2100 0.051755 0.198715 0.552702 0.153778 0.336371
0.2200 0.054145 0.207130 0.566059 0.160985 0.351416
0.2300 0.056524 0.215417 0.578727 0.168175 0.366327
0.2400 0.058892 0.223574 0.590750 0.175349 0.381101
0.2500 0.061250 0.231598 0.602167 0.182506 0.395731
0.2600 0.063595 0.239488 0.613016 0.189644 0.410213
0.2700 0.065929 0.247243 0.623331 0.196764 0.424541
0.2800 0.068251 0.254861 0.633143 0.203863 0.438711
0.2900 0.070560 0.262341 0.642480 0.210942 0.452717
0.3000 0.072855 0.269682 0.651369 0.218001 0.466555
0.3100 0.075137 0.276885 0.659833 0.225037 0.480219
0.3200 0.077405 0.283948 0.667896 0.232051 0.493707
0.3300 0.079659 0.290873 0.675577 0.239041 0.507012
0.3400 0.081899 0.297657 0.682896 0.246008 0.520131
0.3500 0.084123 0.304303 0.689871 0.252950 0.533060
0.3600 0.086332 0.310811 0.696519 0.259867 0.545794
0.3700 0.088525 0.317180 0.702854 0.266758 0.558329
0.3800 0.090703 0.323412 0.708891 0.273622 0.570662
0.3900 0.092863 0.329507 0.714643 0.280459 0.582789
0.4000 0.095008 0.335467 0.720123 0.287268 0.594706
0.4100 0.097135 0.341292 0.725343 0.294048 0.606409
0.4200 0.099245 0.346983 0.730314 0.300798 0.617896
0.4300 0.101337 0.352542 0.735045 0.307519 0.629164
0.4400 0.103412 0.357970 0.739547 0.314209 0.640208
0.4500 0.105468 0.363268 0.743828 0.320867 0.651027
0.4600 0.107506 0.368438 0.747897 0.327493 0.661617
0.4700 0.109525 0.373481 0.751763 0.334087 0.671976
0.4800 0.111526 0.378398 0.755433 0.340647 0.682101
0.4900 0.113507 0.383192 0.758913 0.347173 0.691990
0.5000 0.115468 0.387862 0.762211 0.353665 0.701641
0.5100 0.117410 0.392412 0.765334 0.360121 0.711052
0.5200 0.119332 0.396842 0.768287 0.366541 0.720219
0.5300 0.121234 0.401155 0.771076 0.372924 0.729143
0.5400 0.123115 0.405351 0.773707 0.379270 0.737821
0.5500 0.124976 0.409433 0.776185 0.385578 0.746252
0.5600 0.126816 0.413402 0.778515 0.391848 0.754434
0.5700 0.128635 0.417260 0.780701 0.398078 0.762366
0.5800 0.130432 0.421007 0.782749 0.404269 0.770048
0.5900 0.132209 0.424647 0.784662 0.410419 0.777477
0.6000 0.133964 0.428180 0.786444 0.416528 0.784654
0.6100 0.135697 0.431609 0.788100 0.422595 0.791578
0.6200 0.137408 0.434934 0.789633 0.428620 0.798248
0.6300 0.139097 0.438157 0.791047 0.434603 0.804664
0.6400 0.140765 0.441280 0.792345 0.440542 0.810826
0.6500 0.142409 0.444305 0.793530 0.446436 0.816734
0.6600 0.144032 0.447232 0.794606 0.452287 0.822387
0.6700 0.145632 0.450064 0.795576 0.458091 0.827787
0.6800 0.147209 0.452802 0.796442 0.463851 0.832933
0.6900 0.148763 0.455447 0.797207 0.469563 0.837826
0.7000 0.150295 0.458002 0.797874 0.475229 0.842468
0.7100 0.151804 0.460466 0.798445 0.480847 0.846857
0.7200 0.153289 0.462843 0.798924 0.486418 0.850997
0.7300 0.154752 0.465132 0.799312 0.491939 0.854887
0.7400 0.156191 0.467336 0.799611 0.497411 0.858528
0.7500 0.157606 0.469456 0.799824 0.502834 0.861923
0.7600 0.158999 0.471493 0.799953 0.508206 0.865073
0.7700 0.160368 0.473449 0.800000 0.513528 0.867979
0.7800 0.161714 0.475325 0.799966 0.518798 0.870643
0.7900 0.163035 0.477122 0.799855 0.524016 0.873067
0.8000 0.164334 0.478842 0.799667 0.529182 0.875253
0.8100 0.165609 0.480485 0.799404 0.534295 0.877203
0.8200 0.166860 0.482053 0.799068 0.539355 0.878920
0.8300 0.168087 0.483547 0.798661 0.544360 0.880405
0.8400 0.169291 0.484968 0.798184 0.549311 0.881661
0.8500 0.170471 0.486318 0.797639 0.554208 0.882690
0.8600 0.171627 0.487597 0.797028 0.559048 0.883497
0.8700 0.172760 0.488807 0.796351 0.563833 0.884082
0.8800 0.173868 0.489949 0.795610 0.568562 0.884449
0.8900 0.174953 0.491024 0.794806 0.573233 0.884602
0.9000 0.176014 0.492032 0.793942 0.577848 0.884542
0.9100 0.177052 0.492976 0.793017 0.582404 0.884274
0.9200 0.178066 0.493855 0.792034 0.586903 0.883800
0.9300 0.179056 0.494671 0.790993 0.591342 0.883125
0.9400 0.180022 0.495426 0.789896 0.595723 0.882251
0.9500 0.180965 0.496119 0.788744 0.600044 0.881181
0.9600 0.181884 0.496752 0.787538 0.604305 0.879921
0.9700 0.182779 0.497326 0.786278 0.608505 0.878472
0.9800 0.183651 0.497841 0.784966 0.612645 0.876840
0.9900 0.184499 0.498300 0.783604 0.616723 0.875027
1.0000 0.185324 0.498701 0.782191 0.620740 0.873039
1.0100 0.186126 0.499047 0.780730 0.624694 0.870877
1.0200 0.186904 0.499338 0.779220 0.628587 0.868548
1.0300 0.187658 0.499575 0.777662 0.632416 0.866054
1.0400 0.188390 0.499759 0.776059 0.636182 0.863401
1.0500 0.189098 0.499891 0.774410 0.639884 0.860591
1.0600 0.189783 0.499971 0.772716 0.643523 0.857629
1.0700 0.190445 0.500000 0.770978 0.647097 0.854521
1.0800 0.191084 0.499979 0.769197 0.650606 0.851269
1.0900 0.191700 0.499909 0.767374 0.654051 0.847878
1.1000 0.192294 0.499790 0.765509 0.657429 0.844352
1.1100 0.192864 0.499623 0.763603 0.660743 0.840697
1.1200 0.193412 0.499409 0.761657 0.663990 0.836916
1.1300 0.193937 0.499149 0.759671 0.667170 0.833014
1.1400 0.194440 0.498843 0.757647 0.670284 0.828994
1.1500 0.194920 0.498492 0.755584 0.673331 0.824863
1.1600 0.195377 0.498096 0.753484 0.676311 0.820623
1.1700 0.195813 0.497656 0.751347 0.679223 0.816281
1.1800 0.196226 0.497174 0.749174 0.682067 0.811839
1.1900 0.196617 0.496648 0.746965 0.684843 0.807302
1.2000 0.196987 0.496081 0.744721 0.687550 0.802676
1.2100 0.197334 0.495472 0.742442 0.690189 0.797964
1.2200 0.197659 0.494823 0.740130 0.692759 0.793171
1.2300 0.197963 0.494133 0.737784 0.695259 0.788301
1.2400 0.198246 0.493404 0.735405 0.697690 0.783359
1.2500 0.198506 0.492636 0.732994 0.700051 0.778349
